State , ARG    , COND   , GLOBVARS , INSTRUC , LOCVARS , BODY   , CONST  , BINOP  , PROG   , PROGPRIME , COMMAND , UNOP   , EPILOG , SIMPLE , OP     , FUNCTIONS , VTYP   , COMPOSIT , ALGO   , ASSIGN , FNAME  , TERM   , ATOMIC , DECL   , VNAME  , HEADER , SUBFUNCS , PROLOG , BRANCH , <input , eq     , then   , halt   , not    , main   , T_Token , mul    , ;      , V_Token , sub    , if     , else   , N_Token , end    , {      , grt    , or     , div    , sqrt   , and    , =      , F_Token , $      , void   , return , (      ," ,      ", begin  , add    , )      , num    , }      , text   , skip   , print 
S1841 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , G1858  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1840 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R21    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1839 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , R52    , error  , error  , error  , error  , error  , error  , error  , error   , R52    , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1838 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , R53    , error  , error  , error  , error  , error  , error  , error  , error   , R53    , R53    , error  , error  , error  , error  , error  , error  , R53    , error  , error  , error  , error 
S1837 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , S1857  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1836 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , S1856  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1835 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , R47    , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1834 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , R49    , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1833 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , R34    , error  , error  , R34    , error  , error  , error  , error  , error 
S1832 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R30    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , R30    , error  , error  , R30    , error  , error  , error  , error  , error 
